video_id,frame_name,frame_index,manual_class_label,manual_present,predicted_present,outcome,num_predictions_on_frame,num_target_predictions,predicted_classes,target_track_ids,target_confidences,manual_notes
165895,frame_000028.jpg,28,wooden spoon,1,0,missed_detection,1,0,bowl,,,target object visible in cooking frame
165895,frame_000196.jpg,196,wooden spoon,1,0,missed_detection,2,0,person;pizza,,,target object visible in cooking frame
165895,frame_000504.jpg,504,wooden spoon,1,0,missed_detection,6,0,person;pizza;pizza;person;oven;oven,,,target object visible in cooking frame
165895,frame_000672.jpg,672,wooden spoon,1,1,true_positive,3,1,person;spoon;oven,26,0.433,target object visible in cooking frame
165895,frame_000980.jpg,980,wooden spoon,1,0,missed_detection,4,0,oven;bowl;pizza;bowl,,,target object visible in cooking frame
165895,frame_001148.jpg,1148,wooden spoon,1,0,missed_detection,4,0,bowl;bowl;person;oven,,,target object visible in cooking frame
165895,frame_001456.jpg,1456,wooden spoon,1,1,true_positive,5,1,spoon;bowl;knife;person;carrot,58,0.53,target object visible in cooking frame
165895,frame_001624.jpg,1624,wooden spoon,1,0,missed_detection,4,0,dining table;person;hot dog;sandwich,,,target object visible in cooking frame
165895,frame_002016.jpg,2016,wooden spoon,1,1,true_positive,5,1,person;knife;spoon;bowl;bowl,72,0.339,target object visible in cooking frame
165895,frame_002184.jpg,2184,wooden spoon,1,1,true_positive,5,1,bowl;bowl;spoon;dining table;pizza,85,0.404,target object visible in cooking frame
165895,frame_002492.jpg,2492,wooden spoon,1,0,missed_detection,3,0,oven;pizza;bowl,,,target object visible in cooking frame
165895,frame_002660.jpg,2660,wooden spoon,1,0,missed_detection,3,0,person;bowl;oven,,,target object visible in cooking frame
165895,frame_002968.jpg,2968,wooden spoon,1,0,missed_detection,3,0,bowl;person;oven,,,target object visible in cooking frame
165895,frame_003136.jpg,3136,wooden spoon,1,0,missed_detection,5,0,pizza;person;bowl;person;oven,,,target object visible in cooking frame
165895,frame_003444.jpg,3444,wooden spoon,1,0,missed_detection,5,0,person;pizza;pizza;oven;oven,,,target object visible in cooking frame
165895,frame_003612.jpg,3612,wooden spoon,1,0,missed_detection,2,0,person;oven,,,target object visible in cooking frame
165895,frame_003920.jpg,3920,wooden spoon,1,0,missed_detection,3,0,person;bowl;oven,,,target object visible in cooking frame
165895,frame_004088.jpg,4088,wooden spoon,1,0,missed_detection,3,0,person;oven;pizza,,,target object visible in cooking frame
165895,frame_004396.jpg,4396,wooden spoon,1,0,missed_detection,3,0,person;person;oven,,,target object visible in cooking frame
165895,frame_004564.jpg,4564,wooden spoon,1,0,missed_detection,3,0,oven;person;person,,,target object visible in cooking frame
165895,frame_004872.jpg,4872,wooden spoon,1,0,missed_detection,3,0,pizza;person;person,,,target object visible in cooking frame
165895,frame_005040.jpg,5040,wooden spoon,1,0,missed_detection,4,0,pizza;person;oven;pizza,,,target object visible in cooking frame
165895,frame_005348.jpg,5348,wooden spoon,1,0,missed_detection,4,0,person;oven;person;person,,,target object visible in cooking frame
165895,frame_005516.jpg,5516,wooden spoon,1,0,missed_detection,4,0,pizza;oven;person;person,,,target object visible in cooking frame
165895,frame_005656.jpg,5656,wooden spoon,1,0,missed_detection,4,0,bowl;person;person;bowl,,,target object visible in cooking frame
165895,frame_005768.jpg,5768,wooden spoon,1,1,true_positive,5,1,person;bowl;spoon;person;bowl,183,0.548,target object visible in cooking frame
165895,frame_005824.jpg,5824,wooden spoon,1,1,true_positive,5,1,bowl;person;bowl;person;spoon,183,0.301,target object visible in cooking frame
165895,frame_005992.jpg,5992,wooden spoon,1,0,missed_detection,3,0,person;person;oven,,,target object visible in cooking frame
165895,frame_006188.jpg,6188,wooden spoon,1,0,missed_detection,4,0,oven;bowl;person;person,,,target object visible in cooking frame
165895,frame_006300.jpg,6300,wooden spoon,1,0,missed_detection,5,0,oven;person;bowl;knife;bowl,,,target object visible in cooking frame
165895,frame_006468.jpg,6468,wooden spoon,1,0,missed_detection,5,0,oven;bowl;pizza;person;person,,,target object visible in cooking frame
165895,frame_006608.jpg,6608,wooden spoon,1,0,missed_detection,6,0,person;pizza;person;bowl;oven;bowl,,,target object visible in cooking frame
165895,frame_006776.jpg,6776,wooden spoon,1,0,missed_detection,5,0,pizza;person;oven;bowl;person,,,target object visible in cooking frame
165895,frame_006944.jpg,6944,wooden spoon,1,0,missed_detection,4,0,person;oven;person;bowl,,,target object visible in cooking frame
165895,frame_007252.jpg,7252,wooden spoon,1,0,missed_detection,5,0,person;oven;person;bowl;carrot,,,target object visible in cooking frame
165895,frame_007420.jpg,7420,wooden spoon,1,0,missed_detection,3,0,person;person;oven,,,target object visible in cooking frame
165895,frame_007588.jpg,7588,wooden spoon,1,0,missed_detection,4,0,oven;oven;person;bowl,,,target object visible in cooking frame
165895,frame_007672.jpg,7672,wooden spoon,1,0,missed_detection,5,0,oven;person;person;oven;pizza,,,target object visible in cooking frame
165895,frame_007728.jpg,7728,wooden spoon,1,0,missed_detection,2,0,pizza;person,,,target object visible in cooking frame
165895,frame_007896.jpg,7896,wooden spoon,1,0,missed_detection,4,0,pizza;person;oven;oven,,,target object visible in cooking frame
165895,frame_008204.jpg,8204,wooden spoon,1,0,missed_detection,5,0,person;oven;pizza;pizza;bowl,,,target object visible in cooking frame
165895,frame_008372.jpg,8372,wooden spoon,1,0,missed_detection,7,0,pizza;fork;fork;bowl;oven;cup;person,,,target object visible in cooking frame
165895,frame_008512.jpg,8512,wooden spoon,1,0,missed_detection,4,0,pizza;oven;bowl;oven,,,target object visible in cooking frame
165895,frame_008680.jpg,8680,wooden spoon,1,0,missed_detection,4,0,oven;oven;person;oven,,,target object visible in cooking frame
165895,frame_008848.jpg,8848,wooden spoon,1,0,missed_detection,4,0,person;donut;oven;oven,,,target object visible in cooking frame
165895,frame_009156.jpg,9156,wooden spoon,1,0,missed_detection,5,0,oven;bowl;oven;person;oven,,,target object visible in cooking frame
165895,frame_009324.jpg,9324,wooden spoon,1,0,missed_detection,4,0,person;pizza;oven;oven,,,target object visible in cooking frame
165895,frame_009492.jpg,9492,wooden spoon,1,0,missed_detection,5,0,pizza;oven;person;oven;oven,,,target object visible in cooking frame
165895,frame_009632.jpg,9632,wooden spoon,1,0,missed_detection,2,0,bowl;person,,,target object visible in cooking frame
165895,frame_009800.jpg,9800,wooden spoon,1,0,missed_detection,4,0,person;person;oven;knife,,,target object visible in cooking frame
839878,frame_000210.jpg,210,hairdryer,1,0,missed_detection,1,0,person,,,target object visible in repair frame
839878,frame_000420.jpg,420,hairdryer,1,0,missed_detection,2,0,person;person,,,target object visible in repair frame
839878,frame_000510.jpg,510,hairdryer,1,0,missed_detection,2,0,remote;person,,,target object visible in repair frame
839878,frame_000750.jpg,750,hairdryer,1,0,missed_detection,3,0,person;bottle;cup,,,target object visible in repair frame
839878,frame_001020.jpg,1020,hairdryer,1,0,missed_detection,1,0,cat,,,target object visible in repair frame
839878,frame_001260.jpg,1260,hairdryer,1,0,missed_detection,1,0,sports ball,,,target object visible in repair frame
839878,frame_001620.jpg,1620,hairdryer,1,0,missed_detection,1,0,clock,,,target object visible in repair frame
839878,frame_002010.jpg,2010,hairdryer,1,0,missed_detection,1,0,cup,,,target object visible in repair frame
839878,frame_002430.jpg,2430,hairdryer,1,0,missed_detection,1,0,person,,,target object visible in repair frame
839878,frame_002640.jpg,2640,hairdryer,1,0,missed_detection,1,0,person,,,target object visible in repair frame
839878,frame_003090.jpg,3090,hairdryer,1,0,missed_detection,2,0,person;dining table,,,target object visible in repair frame
839878,frame_003330.jpg,3330,hairdryer,1,0,missed_detection,1,0,bottle,,,target object visible in repair frame
839878,frame_003510.jpg,3510,hairdryer,1,0,missed_detection,2,0,bottle;person,,,target object visible in repair frame
839878,frame_003690.jpg,3690,hairdryer,1,0,missed_detection,2,0,person;toothbrush,,,target object visible in repair frame
839878,frame_003990.jpg,3990,hairdryer,1,0,missed_detection,3,0,person;remote;person,,,target object visible in repair frame
839878,frame_004110.jpg,4110,hairdryer,1,0,missed_detection,2,0,person;person,,,target object visible in repair frame
839878,frame_004320.jpg,4320,hairdryer,1,0,missed_detection,3,0,remote;person;person,,,target object visible in repair frame
839878,frame_004530.jpg,4530,hairdryer,1,0,missed_detection,1,0,person,,,target object visible in repair frame
839878,frame_004890.jpg,4890,hairdryer,1,0,missed_detection,1,0,person,,,target object visible in repair frame
839878,frame_005100.jpg,5100,hairdryer,1,0,missed_detection,1,0,person,,,target object visible in repair frame
839878,frame_005220.jpg,5220,hairdryer,1,0,missed_detection,2,0,remote;person,,,target object visible in repair frame
839878,frame_005430.jpg,5430,hairdryer,1,0,missed_detection,2,0,remote;person,,,target object visible in repair frame
839878,frame_005700.jpg,5700,hairdryer,1,0,missed_detection,1,0,person,,,target object visible in repair frame
839878,frame_005850.jpg,5850,hairdryer,1,0,missed_detection,1,0,person,,,target object visible in repair frame
839878,frame_006120.jpg,6120,hairdryer,1,0,missed_detection,2,0,person;cell phone,,,target object visible in repair frame
839878,frame_006360.jpg,6360,hairdryer,1,0,missed_detection,2,0,person;toilet,,,target object visible in repair frame
839878,frame_006720.jpg,6720,hairdryer,1,0,missed_detection,1,0,cat,,,target object visible in repair frame
839878,frame_007260.jpg,7260,hairdryer,1,0,missed_detection,2,0,person;person,,,target object visible in repair frame
839878,frame_007680.jpg,7680,hairdryer,1,0,missed_detection,2,0,person;person,,,target object visible in repair frame
839878,frame_007890.jpg,7890,hairdryer,1,0,missed_detection,2,0,person;person,,,target object visible in repair frame
839878,frame_008280.jpg,8280,hairdryer,1,0,missed_detection,2,0,person;remote,,,target object visible in repair frame
839878,frame_008460.jpg,8460,hairdryer,1,0,missed_detection,3,0,person;toothbrush;person,,,target object visible in repair frame
839878,frame_008790.jpg,8790,hairdryer,1,0,missed_detection,1,0,toothbrush,,,target object visible in repair frame
839878,frame_009210.jpg,9210,hairdryer,1,0,missed_detection,1,0,toothbrush,,,target object visible in repair frame
839878,frame_009780.jpg,9780,hairdryer,1,0,missed_detection,3,0,spoon;bottle;person,,,target object visible in repair frame
839878,frame_010290.jpg,10290,hairdryer,1,0,missed_detection,3,0,spoon;toothbrush;person,,,target object visible in repair frame
